        n          |         n0         |      elements      |      time 
8                  | *CONVENTIONAL*     | [0, 1]             | 0.0002048015594482422
8                  | 7                  | [0, 1]             | 0.000225067138671875
16                 | *CONVENTIONAL*     | [0, 1]             | 0.001458883285522461
16                 | 15                 | [0, 1]             | 0.0013518333435058594
32                 | *CONVENTIONAL*     | [0, 1]             | 0.01135396957397461
32                 | 31                 | [0, 1]             | 0.01017618179321289
64                 | *CONVENTIONAL*     | [0, 1]             | 0.08946800231933594
64                 | 63                 | [0, 1]             | 0.07967877388000488
128                | *CONVENTIONAL*     | [0, 1]             | 0.7221839427947998
128                | 127                | [0, 1]             | 0.6382319927215576
256                | *CONVENTIONAL*     | [0, 1]             | 5.806566953659058 
256                | 255                | [0, 1]             | 5.081448793411255 
512                | *CONVENTIONAL*     | [0, 1]             | 46.92548394203186 
512                | 511                | [0, 1]             | 41.65343689918518 
1024               | *CONVENTIONAL*     | [0, 1]             | 386.3149070739746 
1024               | 1023               | [0, 1]             | 333.99765181541443
